id	name	icon_id	description	modifiers	triggers
rogue_gold_t2_2	Escape Fund	sf:circle.circle.fill	After Dodging, double the next Gold you steal		dodgePreparesDoubleGoldSteal:true
rogue_gold_t3_1	Bounty Hunter	sf:scope	Defeating an enemy with a Critical Hit grants 10 Gold		critOnDefeatGold:10
rogue_gold_t3_2	Quick Fingers	sf:hand.pinch.fill	Critical Hits that steal Gold draw a card		criticalGoldStealDrawCard:true
wizard_freeze_t1_1	Persistent Frost	sf:snowflake	Deal 2 additional Freeze damage to Frozen enemies		frostDamageVsFrozenBonus:2
wizard_freeze_t1_2	Numbing Cold	sf:cloud.snow.fill	Freeze has a 20% chance to last 1 extra turn		freeze_extend_chance_percent:0.20
wizard_freeze_t2_1	Thermal Shock	sf:sun.snow.fill	Frozen enemies take 50% increased Burn damage		burnDamageVsFrozenMultiplier:1.5
wizard_freeze_t2_2	Glacial Barrier	sf:shield.fill	Gain 3 Block whenever an enemy becomes Frozen.		onEnemyFrozenGainBlock:3
wizard_freeze_t3_1	Deep Freeze	sf:snowflake	Frozen enemies cannot gain Block or restore Health		frozenEnemyCannotBlockOrHeal:true
wizard_freeze_t3_2	Whiteout	sf:cloud.snow.fill	Increase Freeze build-up by 20%		freezeBuildupMultiplier:1.2
wizard_burn_t1_1	Ignition	sf:flame.fill	Burn deals 25% more damage to enemies with no Block.		burnDamageVsNoBlockMultiplier:1.25
wizard_burn_t1_2	Smoldering	sf:flame.fill	Burn fades 25% slower		burnDecaySlowPercent:0.25
wizard_burn_t2_1	Searing Heat	sf:sun.max.fill	Burn ignores enemy Block		burnIgnoresBlock:true
wizard_burn_t2_2	Fuel the Flames	sf:flame.fill	Mana-empowered Burn attacks deal 1 additional damage		empowerBurnDamageBonus:1
wizard_burn_t3_1	Supernova	sf:burst.fill	Burn attacks have a 10% chance to deal double damage		burnAttackDoubleChancePercent:0.10
wizard_burn_t3_2	Pyromancer's Spark	sf:sparkles	Empowering Burn attacks costs 1 less Mana		empowerBurnCostReduction:1
wizard_mana_t1_1	Arcane Focus	sf:scope	Mana empowerment increases attack damage by 1		empowermentDamageBonus:1
wizard_mana_t1_2	Mana Shield	sf:shield.fill	At the end of your turn, gain 1 Block for each unspent Mana.		unspentManaConvertsToBlock:true
wizard_mana_t2_1	Overcharge	sf:bolt.fill	Mana empowerment increases your next attack's damage by 20%		manaEmpowerNextAttackPercent:0.20
wizard_mana_t2_2	Arcane Cleansing	sf:sparkles	Ending a turn at 0 Mana Cleanses 1 negative status effect		endTurnZeroManaCleanse:true
wizard_mana_t3_1	Arcane Surge	sf:wand.and.stars	Spending your last Mana draws a card		spendLastManaDrawCard:true
wizard_mana_t3_2	Spell Echo	sf:repeat	Mana-empowered attacks have a 10% chance to deal double damage		manaEmpoweredAttackDoubleChancePercent:0.10
ranger_poison_t1_1	Venomous Arrows	sf:figure.archery	Poison attacks deal 2 additional damage to Bleeding enemies		poisonAttackVsBleedingBonus:2
ranger_poison_t1_2	Paralytic Poison	sf:tortoise.fill	Poisoned enemies have 15% less accuracy		poisonedEnemyMissChancePercent:0.15
ranger_poison_t2_1	Prey on the Weak	sf:pawprint.fill	Companion attacks deal 25% more damage to Poisoned enemies		companionDamageVsPoisonedMultiplier:1.25
ranger_poison_t2_2	Toxic Backlash	sf:microbe.fill	Poison deals double damage once after a Poisoned enemy hurts your Companion		poisonDoubleAfterCompanionHurt:true
ranger_poison_t3_1	Corrosive Venom	sf:shield.slash.fill	Poison attacks remove 2 extra Block		poisonAttackExtraBlockRemoval:2
ranger_poison_t3_2	Lethal Dose	sf:flask.fill	Enemies below half Health take 25% increased Poison damage		poisonDamageBelowHealthThreshold:0.5|poisonDamageBelowHealthMultiplier:1.25
ranger_burn_t1_1	Flaming Arrows	sf:figure.archery	Burn attacks deal 50% more damage to enemy Block		burnAttackBlockBreakMultiplier:1.5
ranger_burn_t1_2	Slow Burn	sf:hourglass.bottomhalf.filled	Burn fades 30% slower on Bleeding enemies		burnDecaySlowVsBleedingPercent:0.30
ranger_burn_t2_1	Woundfire	sf:flame.fill	Bleeding enemies take 25% increased Burn damage		burnDamageVsBleedingMultiplier:1.25
ranger_burn_t2_2	Smoke Screen	sf:cloud.fog.fill	Burning enemies grant both allies +10% Dodge		partyDodgeVsBurningBonus:0.10
ranger_burn_t3_1	Scorched Earth	sf:flame.fill	Burning enemies gain 25% less Block		burningEnemyBlockGainMultiplier:0.75
ranger_burn_t3_2	Inferno Barrage	sf:flame.fill	Burn Critical Hits deal 4 additional damage		burnCriticalDamageBonus:4
ranger_bleed_t1_1	Lead the Hunt	sf:scope	Companion attacks deal 25% more damage to Bleeding enemies	companion_bleed_damage_dealt:3	companionAttackVsBleedingMultiplier:1.25
ranger_bleed_t1_2	Broadhead Arrows	sf:figure.archery	Bleed attacks ignore half enemy Block		bleedAttackBlockIgnorePercent:0.5
ranger_bleed_t2_1	Hamstring Shot	sf:figure.fall	Bleeding enemies deal 25% less damage		bleedingEnemyOutgoingDamageMultiplier:0.75
ranger_bleed_t2_2	Bloodscent	sf:eye.fill	Bleed lasts 1 extra turn	bleed_duration:1
ranger_bleed_t3_1	Pinning Strike	sf:pin.fill	Bleed attacks deal 50% more damage to Stunned enemies		bleedAttackVsStunnedMultiplier:1.5
ranger_bleed_t3_2	Blood Tracker	sf:eye.fill	Gain +15% Critical Hit chance against Bleeding enemies		critChancePerBleedingEnemy:0.15
warlock_burn_t1_1	Bloodfire	sf:drop.fill	Burn attacks have a 10% chance to deal 4 Bleed damage		burnAttackBleedChancePercent:0.10|burnAttackBleedDamage:4
warlock_burn_t1_2	Scorching Ash	sf:flame.fill	Below half Health, Burn damage is increased by 25%		burnBelowHalfHealthMultiplier:1.25
warlock_burn_t2_1	Withering Flame	sf:heart.slash.fill	Burning enemies restore half as much Health		burningEnemyHealingMultiplier:0.5
warlock_burn_t2_2	Soul Burn	sf:flame.fill	Spending your last Mana increases your next Burn attack’s damage by 50%		lastManaNextBurnPercent:0.5
warlock_burn_t3_1	Damnation	sf:flame.fill	Burning enemies take 25% additional damage		damageVsBurningMultiplier:1.25
warlock_burn_t3_2	Raging Inferno	sf:flame.fill	Gain +15% Critical Hit chance against Burning enemies		criticalVsBurningBonus:0.15
warlock_leech_t1_1	Vampiric Touch	sf:hand.raised.fill	Leech also heals from damage absorbed by enemy Block.		leechOnBlockDamage:true
warlock_leech_t1_2	Armor Pierce	sf:shield.slash.fill	Leech attacks ignore half enemy Block		leechAttackBlockIgnorePercent:0.5
warlock_leech_t2_1	Blood Link	sf:link	Excess Health restored from Leech is transferred to your Companion.		leechOverhealTransfersToCompanion:true
warlock_leech_t2_2	Soul Drain	sf:moon.stars.fill	Leeching Health restores 1 Mana.		leechRestoreManaFlat:1
warlock_leech_t3_1	Sanguine Overflow	sf:heart.fill	Leeching to full Health adds 1 bonus damage to your next attack		leechToFullNextAttackBonus:1
warlock_leech_t3_2	Soul Ward	sf:shield.fill	Leech also grants Block when below half Health		leechBlockBelowHalf:true
warlock_mana_t1_1	Dark Recovery	sf:arrow.counterclockwise	At 0 Mana, Leech restores 50% more Health		darkRecoveryMultiplier:1.5
warlock_mana_t1_2	Forbidden Lore	sf:book.fill	Gain 1 Mana when you lose Health		healthLossManaGain:1
warlock_mana_t2_1	Eldritch Shield	sf:shield.lefthalf.filled	Spending Mana grants 2 Block.		spendManaBlockFlat:2
warlock_mana_t2_2	Hexing Rune	sf:atom	Mana empowerment Purges 1 positive status effect		manaEmpowerPurgeCount:1
warlock_mana_t3_1	Chaos Rift	sf:burst.fill	Mana-empowered Critical Hits deal 50% more damage		manaEmpoweredCriticalMultiplier:1.5
warlock_mana_t3_2	Life Tap	sf:heart.fill	Health costs reduce your next Mana empowerment cost by 1		healthCostEmpowerDiscount:1
bear_block_t1_1	Thick Hide	sf:shield.fill	Take 2 less Physical damage from each hit.		passivePhysicalMitigationFlat:2
bear_block_t1_2	Hibernation	sf:moon.fill	Restore 2 Health if you end your turn with Block.		endTurnWithBlockHealFlat:2
bear_block_t2_1	Grizzly Guard	sf:shield.lefthalf.filled	When Bear takes damage, grant 2 Block to the Hero.		onCompanionTakeDamageGrantHeroBlock:2
bear_block_t2_2	Tough Pelt	sf:checkmark.shield.fill	Bear takes 50% less Bleed damage.		bleedResistance:0.5
bear_block_t3_1	Ironhide	sf:lock.shield.fill	Lose at most 12 Health per hit.		maxDamagePerHitCap:12
bear_block_t3_2	Vital Armor	sf:heart.fill	Gain 1 Max Health for every 5 Block gained in combat (up to +10 Max Health).		blockGainedMaxHealthEvery:5
bear_physical_t1_1	Shield Breaker	sf:shield.slash.fill	Physical attacks deal double damage to enemy Block.		physicalBlockBreakMultiplier:2
bear_physical_t1_2	Primal Rage	sf:flame.fill	Deal 1 additional damage for every 10 missing Health.		damagePerMissingHealthEvery:10
bear_physical_t2_1	Cleaving Claws	sf:pawprint.fill	Physical attacks deal 2 additional damage.	damage_dealt:physical:2	
bear_physical_t2_2	Heavy Impact	sf:hammer.fill	Physical attacks ignore half of enemy Block.		physicalBlockIgnorePercent:0.5
bear_physical_t3_1	Enrage	sf:flame.fill	While Bear is below half Health, party attacks deal 3 additional damage.		partyAllStatsBonusBelowHealthThreshold:0.5|partyAllStatsBonusBelowHealthAmount:3
bear_physical_t3_2	Pulverize	sf:hammer.fill	The first Physical attack each turn deals 1 Bleed and 1 Stun damage.		firstPhysicalBleedStunPerTurn:true
bear_stun_t1_1	Ground Slam	sf:hammer.fill	Physical attacks deal 1 Stun damage.		physicalAttackFlatStunBuildup:1
bear_stun_t1_2	Dazing Swipe	sf:pawprint.fill	Attacks have a 25% chance to deal 3 Stun damage.		dazingSwipeChancePercent:0.25|dazingSwipeStunDamage:3
bear_stun_t2_1	Shockwave	sf:waveform	Stunning an enemy deals 3 Physical damage to them.		stunDealPhysicalFlat:3
bear_stun_t2_2	Deep Stun	sf:hourglass.bottomhalf.filled	Stun has a 20% chance to last an additional turn.		stun_extend_chance_percent:0.20
bear_stun_t3_1	Exposed Prey	sf:scope	Stunned enemies take 50% additional damage from Hero cards.		heroDamageVsStunnedMultiplier:1.5
bear_stun_t3_2	Seismic Roar	sf:waveform	While Bear is below half Health, its attacks deal 2 Stun damage.		attackStunBuildupBelowHealthThreshold:0.5|attackStunBuildupBelowHealthBonus:2
frost_whelp_freeze_t1_1	Rimewind	sf:wind	When you Dodge, deal 2 Freeze damage to the attacker.		dodgeDealFreezeFlat:2
frost_whelp_freeze_t1_2	Chilling Scales	sf:shield.fill	When attacked, deal 2 Freeze damage to the attacker.		onHitAttackerFreezeBuildup:2
frost_whelp_freeze_t2_1	Glacial Grip	sf:hand.raised.fill	Attacking a Frozen enemy grants 3 Block.		onAttackFrozenEnemyGainBlock:3
frost_whelp_freeze_t2_2	Frost Siphon	sf:moon.stars.fill	Attacking a Frozen enemy grants 1 Mana.		onAttackFrozenEnemyGainMana:1
frost_whelp_freeze_t3_1	Shatter Frost	sf:burst.fill	Frozen enemies take 25% additional damage.		damageVsFrozenMultiplier:1.25
frost_whelp_freeze_t3_2	Freezing Gale	sf:cloud.snow.fill	Deal 2 Freeze damage to the enemy every 3 turns.		everyNTurnsFreezeAllEnemiesInterval:3|everyNTurnsFreezeAllEnemiesAmount:2
frost_whelp_mana_t1_1	Dragon Spark	sf:sparkles	Your first Mana empowerment costs 2 less Mana.		firstEmpowermentCostReduction:2
frost_whelp_mana_t1_2	Arcane Breath	sf:wind	Mana empowerment adds 3 extra damage.		empowermentDamageBonus:3
frost_whelp_mana_t2_1	Mana Absorption	sf:shield.fill	Gain 2 Block whenever the Hero spends Mana.		onHeroSpendManaGainBlock:2
frost_whelp_mana_t2_2	Aetherial Armor	sf:shield.fill	Gain 1 damage reduction for every 2 unspent Mana.		damageReductionPerUnspentManaEvery:2
frost_whelp_mana_t3_1	Mana Flow	sf:repeat	Spending Mana has a 25% chance to refund the Mana.		spendManaRefundChancePercent:0.25
frost_whelp_mana_t3_2	Spell Channeling	sf:wand.and.stars	When you spend Mana to empower the Whelp's cards, it costs 2 Mana instead of 3.		empowermentCostReduction:1
frost_whelp_dodge_t1_1	High Altitude	sf:cloud.fill	While above half Health, gain +15% Dodge chance.		dodgeChanceAboveHalfHealthBonus:0.15
frost_whelp_dodge_t1_2	Tailwind	sf:wind	Dodging an attack draws a card for the Hero.		onDodgeDrawCardForHero:1
frost_whelp_dodge_t2_1	Flyby Strike	sf:bird.fill	After Dodging, your next attack deals double damage.		nextAttackDoubleAfterDodge:true
frost_whelp_dodge_t2_2	Wing Buffet	sf:bird.fill	Dodging an attack delays the attacker's next turn.		onDodgeDelayAttackerTurn:true
frost_whelp_dodge_t3_1	Aerial Cover	sf:shield.lefthalf.filled	Dodging an attack grants the Hero 3 Block.		onDodgeGrantHeroBlock:3
frost_whelp_dodge_t3_2	Tempest Wing	sf:wind	Each Dodge restores 1 Mana to you and the Hero.		onDodgePartyMana:1
lizard_scout_poison_t1_1	Cold Blood	sf:thermometer.snowflake	Deal 2 Poison damage when you Dodge.		dodgeApplyPoison:2
lizard_scout_poison_t1_2	Venomous Skin	sf:microbe.fill	Deal 2 Poison damage to attackers when you take damage.		onHitAttackerPoison:2
lizard_scout_poison_t2_1	Spit Poison	sf:flask.fill	When the Hero attacks a Poisoned enemy, deal 1 additional Poison damage.		onHeroAttackPoisonedEnemyApplyPoison:1
lizard_scout_poison_t2_2	Toxiphage	sf:waveform.path.ecg	Your Poison damage has a 50% chance to Leech.		poisonDamageLeechChancePercent:0.5
lizard_scout_poison_t3_1	Paralysis	sf:bolt.fill	Dealing Poison damage to an enemy with 6 or more Poison has a 25% chance to Stun them.		poison_stun_chance_percent:0.25|poisonThresholdStunAmount:6
lizard_scout_poison_t3_2	Venom Spores	sf:camera.macro	Poison fades 50% slower each round.		poisonDecaySlowPercent:0.50
lizard_scout_bleed_t1_1	Barbed Tail	sf:asterisk	Basic attacks deal 2 Bleed damage.		basicAttackApplyBleed:2
lizard_scout_bleed_t1_2	Spiny Carapace	sf:asterisk	Attackers take 1 Bleed damage for 2 turns when hitting you.		onHitAttackerBleedPotency:1|onHitAttackerBleedTurns:2
lizard_scout_bleed_t2_1	Ferocious Bite	sf:burst.fill	Attacks deal 2 additional damage to Bleeding enemies.		damageVsBleedingBonus:2
lizard_scout_bleed_t2_2	Evasive Reflexes	sf:wind	Gain +10% Dodge chance against Bleeding enemies.		dodgeChanceVsBleedingEnemiesBonus:0.10
lizard_scout_bleed_t3_1	Frenzied Tail	sf:repeat	While any enemy is Bleeding, draw an extra card each turn.		extraCardDrawWhileEnemyBleeding:true
lizard_scout_bleed_t3_2	Armor Shred	sf:shield.slash.fill	Bleed strips 2 Block from the target each turn.		bleedStripsBlockPerTurn:2
lizard_scout_gold_t1_1	Trophy Scales	sf:rosette	Gain 5 bonus Gold from every battle.		victoryGoldFlat:5
lizard_scout_gold_t1_2	Hoard Armor	sf:shield.fill	At the end of your turn, gain 1 Block for every 5 Gold carried (max 5).		blockPerGoldCollectedEvery:5
lizard_scout_gold_t2_1	Pickpocket	sf:hand.pinch.fill	Attacks steal 1 Gold, or 2 Gold from Poisoned enemies.		onAttackStealGold:1|stealGoldBonusVsPoisoned:1
lizard_scout_gold_t2_2	Scavenger's Cache	sf:shippingbox.fill	The first time you steal Gold each turn, restore 2 Health.		firstGoldTheftHeal:2
lizard_scout_gold_t3_1	Flawless Bounty	sf:trophy.fill	While Lizard Scout is at full Health, Gold you gain in combat is doubled.		goldDoubledWhileFullHealth:true
lizard_scout_gold_t3_2	Gilded Claws	sf:pawprint.fill	Stealing Gold increases your next attack’s damage by the amount stolen.		gildedClaws:true
panther_bleed_t1_1	Razor Claws	sf:pawprint.fill	Bleed damage dealt increases by 1 each round.		bleed_damage_ramp_per_round:1
panther_bleed_t1_2	Raking Swipes	sf:burst.fill	Attacks deal 2 Bleed damage.		attackApplyBleed:2
panther_bleed_t2_1	Stalk the Wound	sf:scope	Bleeding targets take 20% additional damage from Physical attacks.		physicalDamageVsBleedingMultiplier:1.2
panther_bleed_t2_2	Rend Flesh	sf:drop.fill	Critical Hits double the duration of active Bleed effects.		onCritDoubleBleedDuration:true
panther_bleed_t3_1	Crippling Laceration	sf:drop.fill	Enemies with 3 or more Bleed deal 30% less damage.		enemyBleedStacksDamageReductionStacks:3|enemyBleedStacksDamageReductionPercent:0.30
panther_bleed_t3_2	Bloodprice	sf:heart.fill	Attacking a Bleeding target restores 2 Health.		onAttackBleedingEnemyHeal:2
panther_leech_t1_1	Blood Hunger	sf:drop.fill	Gain +15% Leech against enemies below half Health.		leechPercentVsLowHealthEnemies:0.15
panther_leech_t1_2	Shared Feast	sf:heart.fill	Health restored by Leech is shared equally with the Hero.		leechSharesToHeroPercent:0.5
panther_leech_t2_1	Vitality Infusion	sf:heart.fill	Leeching Health restores 1 Mana to the Hero.		onCompanionLeechRestoreHeroMana:1
panther_leech_t2_2	Sanguine Growth	sf:leaf.fill	Excess Health restored from Leech grants a +1 damage bonus for combat (up to +4).		leechOverhealDamageBonus:1
panther_leech_t3_1	Frenzied Feeding	sf:eyedropper	Leeching from Poisoned or Bleeding enemies doubles the Health restored.		leechHealingVsAfflictedMultiplier:2
panther_leech_t3_2	Pack Bloodlust	sf:pawprint.fill	While Panther is above 80% Health, party gains +10% Critical Hit chance.		partyCritChanceWhileCompanionAboveHealthThreshold:0.8|partyCritChanceWhileCompanionAboveHealthBonus:0.10
panther_dodge_t1_1	Surprise Strike	sf:burst.fill	Your first Physical attack each combat always Critically Hits.		firstPhysicalAttackGuaranteedCritical:true
panther_dodge_t1_2	Counter Pounce	sf:pawprint.fill	Dodging an attack counters immediately for 3 damage.		onDodgeCounterDamage:3
panther_dodge_t2_1	Survival Instinct	sf:wind	Gain +25% Dodge chance while below 30% Health.		dodgeChanceBelowHealthPercentThreshold:0.3|dodgeChanceBelowHealthPercentBonus:0.25
panther_dodge_t2_2	Stalker's Precision	sf:scope	Each Dodge increases your Critical Hit damage by half, up to double.		critMultiplierPerDodge:0.5
panther_dodge_t3_1	Shadow Camouflage	sf:eye.slash.fill	Playing a non-damaging card makes you Dodge the next attack.		shadowCamouflage:true
panther_dodge_t3_2	Vanish	sf:eye.slash.fill	After Dodging, your next attack is a guaranteed Critical Hit.		onDodgeNextAttackGuaranteedCritical:true
phoenix_burn_t1_1	Blazing Feathers	sf:bird.fill	Attackers take 2 Burn damage when hitting Phoenix.		onHitAttackerBurn:2
phoenix_burn_t1_2	Ignition Spark	sf:sparkles	Burn has a 25% chance to increase instead of decrease.		burnIncreaseChancePercent:0.25
phoenix_burn_t2_1	Flame Shield	sf:shield.fill	Gain 2 Block whenever you deal Burn damage.		onBurnDamageGainBlock:2
phoenix_burn_t2_2	Explosive Embers	sf:burst.fill	Phoenix deals 4 additional damage to Burning enemies.		companionDamageVsBurningBonus:4
phoenix_burn_t3_1	Molten Heat	sf:flame.fill	Burn damage has a 25% chance to deal double damage.		burnDamageDoubleChancePercent:0.25
phoenix_burn_t3_2	Intense Heat	sf:thermometer.sun.fill	Burning enemies take 25% additional damage from Phoenix attacks.		companionDamageVsBurningMultiplier:1.25
phoenix_health_t1_1	Restorative Ashes	sf:waveform.path.ecg	Restore 2 Health each turn.		healthPerTurn:2
phoenix_health_t1_2	Healing Flames	sf:heart.fill	Dealing Burn damage restores 2 Health to the lowest Health ally.		onBurnDamageHealLowestAllyFlat:2
phoenix_health_t2_1	Afterglow	sf:sunset.fill	When Phoenix survives Death's Door, restore 15% of each ally's Max Health.		surviveDeathsDoorPartyHealPercent:0.15
phoenix_health_t2_2	Radiant Health	sf:sun.max.fill	While Phoenix is at full Health, party attacks deal 2 additional damage.		partyDamageBonusWhileCompanionFullHealth:2
phoenix_health_t3_1	Phoenix Gift	sf:gift.fill	The first time each battle the Hero would take fatal damage, restore 15% of their Max Health.		onHeroFatalHealPercentMaxHealth:0.15
phoenix_health_t3_2	Ashen Vitality	sf:heart.fill	Health restored beyond full converts into Max Health this combat (up to +10).		overhealConvertsToMaxHealth:true|overhealConvertsToMaxHealthCap:10
phoenix_deathsdoor_t1_1	From the Ashes	sf:arrow.counterclockwise	Revives at 10 Health the first time it dies each battle. This happens before Death's Door.		onceDeathReviveHealth:10
phoenix_deathsdoor_t1_2	Lingering Spirit	sf:hourglass.bottomhalf.filled	Death's Door lasts 1 additional turn.		deathsDoorDurationBonusTurns:1
phoenix_deathsdoor_t2_1	Blazing Rebirth	sf:flame.fill	Rebirth deals 5 Burn damage to the enemy when triggered.		reviveDealBurnDamage:5
phoenix_deathsdoor_t2_2	Phoenix Vigor	sf:dumbbell.fill	Surviving Death's Door grants +50% damage for 3 turns.		onSurviveDeathsDoorDamageBonusPercent:0.5
phoenix_deathsdoor_t3_1	Fortified Rebirth	sf:shield.fill	Revives grant 10 Block in addition to Health.		onceDeathReviveBlock:10
phoenix_deathsdoor_t3_2	Ashen Ward	sf:checkmark.shield.fill	Gain +50% Dodge chance and immunity to negative effects while on Death's Door.		deathsDoorDodgeAndDebuffImmunity:true
wolf_bleed_t1_1	Pack Ferocity	sf:pawprint.fill	Increase Bleed duration by 1 and Bleed damage dealt by 1.	bleed_duration:1|damage_dealt:bleed:1	
wolf_bleed_t1_2	Deep Bite	sf:burst.fill	Deal 2 additional damage to Bleeding enemies.		damageVsBleedingBonus:2
wolf_bleed_t2_1	Hamstring	sf:figure.fall	Bleeding enemies deal 2 less damage.		bleedingEnemyDamageReductionFlat:2
wolf_bleed_t2_2	Open Wounds	sf:drop.fill	Dealing Bleed damage to a Bleeding target deals 2 damage.		onBleedAppliedToBleedingDealDamage:2
wolf_bleed_t3_1	Carnivore	sf:heart.fill	Restore 2 Health whenever Bleed deals damage.		onBleedDamageHealSelf:2
wolf_bleed_t3_2	Savage Tear	sf:burst.fill	Bleed ticks have a 20% chance to critically strike.		bleedTickCritChancePercent:0.20
wolf_dodge_t1_1	Sidestep	sf:figure.walk	Gain 2 Block whenever you Dodge.		dodgeBlockFlat:2
wolf_dodge_t1_2	Nimble Fang	sf:drop.fill	After Dodging, your next attack deals 2 Bleed damage.		nextAttackBleedAfterDodge:2
wolf_dodge_t2_1	Pack Coordination	sf:person.2.fill	When Wolf Dodges, the Hero gains +10% Dodge chance until your next turn.		onCompanionDodgeGrantHeroDodgePercent:0.10
wolf_dodge_t2_2	Flanking Position	sf:point.topleft.down.to.point.bottomright.curvepath	Dodging makes your next party hit a guaranteed Critical Hit.		onDodgeNextPartyHitGuaranteedCritical:true
wolf_dodge_t3_1	Evasive Pack	sf:wind	Wolf automatically Dodges attacks after the first hit each turn. These Dodges do not counterattack.		autoDodgeAfterFirstHitPerTurn:true
wolf_dodge_t3_2	Snapping Jaws	sf:arrow.uturn.backward	Dodging counters with an immediate basic attack.		onDodgeCounterBasicAttack:true
wolf_physical_t1_1	Alpha Howl	sf:dog.fill	Party deals 2 additional Physical damage for the first 3 turns.		partyPhysicalDamageBonusFirstTurns:2|partyPhysicalDamageBonusFirstTurnCount:3
wolf_physical_t1_2	Predatory Focus	sf:scope	Deal 3 additional damage to enemies with lower Health than Wolf.		damageVsLowerHealthEnemyBonus:3
wolf_physical_t2_1	Bone-Crushing Bite	sf:burst.fill	Physical attacks against enemies with Block deal 2 additional damage.		physicalDamageVsBlockedBonus:2
